NOME_MUNICIPIO,UF,Valor_Medio_Pago,Etiqueta_Classificacao
PALMEIRA DO PIAUI,PI,683.9966887417219,Alto Repasse
ALTO ALEGRE DOS PARECIS,RO,617.1666666666666,Baixo Repasse
JULIO BORGES,PI,685.5530303030303,Alto Repasse
MARUIM,SE,686.2361557699178,Alto Repasse
CAMPANARIO,MG,646.7121212121212,Baixo Repasse
HULHA NEGRA,RS,691.615468409586,Alto Repasse
CORACAO DE MARIA,BA,641.9161541922904,Baixo Repasse
SANTO ANTONIO DO PINHAL,SP,603.840108401084,Baixo Repasse
BARRA DO ROCHA,BA,618.9720479178551,Baixo Repasse
SIDEROPOLIS,SC,647.2981029810298,Baixo Repasse
GUARANTA,SP,686.7223880597015,Alto Repasse
VERANOPOLIS,RS,617.3658536585366,Baixo Repasse
AIQUARA,BA,646.0443505807814,Baixo Repasse
CAIUA,SP,633.6731898238747,Baixo Repasse
UARINI,AM,812.5915860014892,Alto Repasse
WITMARSUM,SC,633.4096385542168,Baixo Repasse
TAPIRATIBA,SP,620.4275147928994,Baixo Repasse
TAUBATE,SP,680.1719313304721,Alto Repasse
ITAUBAL,AP,750.8041136141038,Alto Repasse
CASA BRANCA,SP,646.6102389078499,Baixo Repasse
NOVA BRASILANDIA,MT,680.3051359516617,Alto Repasse
SAO JOAO DA PONTA,PA,696.7481420313791,Alto Repasse
LINDOIA DO SUL,SC,613.967032967033,Baixo Repasse
UMIRIM,CE,686.9166427134234,Alto Repasse
IBIRAMA,SC,637.7857142857143,Baixo Repasse
BRAZABRANTES,GO,631.7792553191489,Baixo Repasse
CURRAIS NOVOS,RN,647.9508800654933,Baixo Repasse
PIQUEROBI,SP,639.2412698412699,Baixo Repasse
PUXINANA,PB,688.5636955636955,Alto Repasse
CARAUARI,AM,730.249724279187,Alto Repasse
ARARIPINA,PE,682.3892887993089,Alto Repasse
MORRINHOS,GO,620.4779281930547,Baixo Repasse
NOVA ROMA DO SUL,RS,733.1428571428571,Alto Repasse
MONTES ALTOS,MA,696.8026315789474,Alto Repasse
BAIA DA TRAICAO,PB,703.3345971563981,Alto Repasse
IPIRA,SC,691.4722222222222,Alto Repasse
ESPERANTINA,PI,685.4234902763562,Alto Repasse
GASTAO VIDIGAL,SP,640.2911392405064,Baixo Repasse
APIACA,ES,646.2072243346007,Baixo Repasse
DOIS CORREGOS,SP,680.0940350877192,Alto Repasse
FLORESTA DO ARAGUAIA,PA,699.7959366596953,Alto Repasse
IRARA,BA,650.4853937835943,Baixo Repasse
PORTO ACRE,AC,703.42700729927,Alto Repasse
ADAMANTINA,SP,636.8453333333333,Baixo Repasse
AMARANTE,PI,703.0785883748517,Alto Repasse
MONTE SANTO DE MINAS,MG,650.0951714485655,Baixo Repasse
ANGICO,TO,642.4223107569721,Baixo Repasse
PINDARE-MIRIM,MA,703.8311621528968,Alto Repasse
SAO SEBASTIAO DO UATUMA,AM,725.5140267587398,Alto Repasse
MATIAS OLIMPIO,PI,684.8029881862404,Alto Repasse
BOA ESPERANCA,PR,633.1915584415584,Baixo Repasse
JURUTI,PA,813.9531615925058,Alto Repasse
SAO JOAO DA URTIGA,RS,560.2539682539683,Baixo Repasse
MIRAI,MG,637.4775641025641,Baixo Repasse
APIAI,SP,648.328793774319,Baixo Repasse
AURORA DO PARA,PA,693.3425986842105,Alto Repasse
VESPASIANO CORREA,RS,698.75,Alto Repasse
CANDIDO MOTA,SP,638.1489594742607,Baixo Repasse
FORQUILHINHA,SC,692.0671140939597,Alto Repasse
TUTOIA,MA,706.8798084350378,Alto Repasse
GRAVATAI,RS,683.8019241652519,Alto Repasse
